start.dates,end.dates,Spider,high.temp,low.temp,City
1/4/04,1/10/04,NA,46.2,36.55714286,Seattle
1/11/04,1/17/04,NA,47.02857143,37.04285714,Seattle
1/18/04,1/24/04,NA,47.8,37.2,Seattle
1/25/04,1/31/04,NA,48.44285714,37.12857143,Seattle
2/1/04,2/7/04,NA,48.98571429,36.88571429,Seattle
2/8/04,2/14/04,10.51693405,49.52857143,36.71428571,Seattle
2/15/04,2/21/04,14.79500891,50.14285714,36.78571429,Seattle
2/22/04,2/28/04,14.61675579,50.94285714,37.21428571,Seattle
2/29/04,3/6/04,26.73796791,51.78571429,37.81428571,Seattle
3/7/04,3/13/04,40.10695187,52.82857143,38.65714286,Seattle
3/14/04,3/20/04,50.98039216,53.87142857,39.5,Seattle
3/21/04,3/27/04,63.2798574,54.88571429,40.2,Seattle
3/28/04,4/3/04,69.87522282,55.88571429,40.75714286,Seattle
4/4/04,4/10/04,72.01426025,56.92857143,41.25714286,Seattle
4/11/04,4/17/04,78.07486631,58.1,41.9,Seattle
4/18/04,4/24/04,84.84848485,59.44285714,42.71428571,Seattle
4/25/04,5/1/04,88.23529412,60.95714286,43.84285714,Seattle
5/2/04,5/8/04,94.4741533,62.54285714,45.2,Seattle
5/9/04,5/15/04,99.28698752,64.05714286,46.6,Seattle
5/16/04,5/22/04,89.48306595,65.37142857,47.95714286,Seattle
5/23/04,5/29/04,79.14438503,66.52857143,49.15714286,Seattle
5/30/04,6/5/04,71.30124777,67.57142857,50.17142857,Seattle
6/6/04,6/12/04,65.06238859,68.64285714,51.05714286,Seattle
6/13/04,6/19/04,64.88413547,69.84285714,51.94285714,Seattle
6/20/04,6/26/04,67.55793226,71.25714286,52.87142857,Seattle
6/27/04,7/3/04,66.66666667,72.84285714,53.84285714,Seattle
7/4/04,7/10/04,65.24064171,74.42857143,54.78571429,Seattle
7/11/04,7/17/04,68.44919786,75.78571429,55.6,Seattle
7/18/04,7/24/04,71.30124777,76.78571429,56.2,Seattle
7/25/04,7/31/04,77.54010695,77.27142857,56.47142857,Seattle
8/1/04,8/7/04,81.6399287,77.3,56.48571429,Seattle
8/8/04,8/14/04,84.67023173,76.92857143,56.3,Seattle
8/15/04,8/21/04,89.30481283,76.28571429,55.9,Seattle
8/22/04,8/28/04,92.6916221,75.4,55.35714286,Seattle
8/29/04,9/4/04,95.54367201,74.25714286,54.58571429,Seattle
9/5/04,9/11/04,100,72.8,53.6,Seattle
9/12/04,9/18/04,99.46524064,70.92857143,52.34285714,Seattle
9/19/04,9/25/04,97.50445633,68.67142857,50.87142857,Seattle
9/26/04,10/2/04,92.86987522,66.07142857,49.3,Seattle
10/3/04,10/9/04,84.13547237,63.3,47.72857143,Seattle
10/10/04,10/16/04,72.90552585,60.62857143,46.3,Seattle
10/17/04,10/23/04,66.48841355,58.1,44.97142857,Seattle
10/24/04,10/30/04,59.35828877,55.9,43.77142857,Seattle
